radacctid,acctsessionid,acctuniqueid,username,nasipaddress,acctstarttime,acctstoptime,acctsessiontime,acctinputoctets,acctoutputoctets,acctterminatecause,calledstationid,callingstationid,servicetype,framedprotocol,framedipaddress
1,SES001,UNIQ001,STU001,192.168.1.1,2025-08-01 08:00:00,2025-08-01 09:00:00,3600,500000,300000,User-Request,AP01,MAC01,Login,PPP,10.0.0.1
2,SES002,UNIQ002,STU002,192.168.1.1,2025-08-01 08:05:00,2025-08-01 09:10:00,3900,700000,400000,User-Request,AP01,MAC02,Login,PPP,10.0.0.2
3,SES003,UNIQ003,STU003,192.168.1.1,2025-08-01 08:10:00,2025-08-01 09:20:00,4200,900000,500000,User-Request,AP01,MAC03,Login,PPP,10.0.0.3
4,SES004,UNIQ004,STU004,192.168.1.1,2025-08-01 08:15:00,2025-08-01 09:30:00,4500,1100000,600000,User-Request,AP01,MAC04,Login,PPP,10.0.0.4
5,SES005,UNIQ005,STU005,192.168.1.1,2025-08-01 08:20:00,2025-08-01 09:40:00,4800,1300000,700000,User-Request,AP01,MAC05,Login,PPP,10.0.0.5
6,SES006,UNIQ006,STU006,192.168.1.1,2025-08-01 08:25:00,2025-08-01 09:50:00,5100,1500000,800000,User-Request,AP01,MAC06,Login,PPP,10.0.0.6
7,SES007,UNIQ007,STU007,192.168.1.1,2025-08-01 08:30:00,2025-08-01 10:00:00,5400,1700000,900000,User-Request,AP01,MAC07,Login,PPP,10.0.0.7
8,SES008,UNIQ008,STU008,192.168.1.1,2025-08-01 08:35:00,2025-08-01 10:10:00,5700,1900000,1000000,User-Request,AP01,MAC08,Login,PPP,10.0.0.8
9,SES009,UNIQ009,STU009,192.168.1.1,2025-08-01 08:40:00,2025-08-01 10:20:00,6000,2100000,1100000,User-Request,AP01,MAC09,Login,PPP,10.0.0.9
10,SES010,UNIQ010,STU010,192.168.1.1,2025-08-01 08:45:00,2025-08-01 10:30:00,6300,2300000,1200000,User-Request,AP01,MAC10,Login,PPP,10.0.0.10
